Country,latitude,longitude,Total,Recovered,Active,Deaths,Population,Continent
Afghanistan,33.93911,67.709953,39145,32610,6535,1446,38928341,Asia
Albania,41.1533,20.1683,12787,7139,5648,370,2877800,Europe
Algeria,28.0339,1.6596,50400,35428,14972,1698,43851043,Africa
Andorra,42.5063,1.5218,1753,1203,550,53,77265,Europe
Angola,-11.2027,17.8739,4363,1473,2890,159,32866268,Africa
Antigua and Barbuda,17.0608,-61.7964,97,92,5,3,97928,North America
Argentina,-38.4161,-63.6167,664799,525486,139313,14376,45195777,South America
Armenia,40.0691,45.0382,47877,43026,4851,942,2963234,Europe
Australia,-27.4698,153.0251,26980,24446,2534,861,25499881,Oceania
Austria,47.5162,14.5501,39984,30949,9035,777,9006400,Europe
Azerbaijan,40.1431,47.5769,39524,37122,2402,580,10139175,Europe
Bahamas,25.025885,-78.035889,3618,1915,1703,80,393248,North America
Bahrain,26.0275,50.55,67014,60117,6897,231,1701583,Asia
Bangladesh,23.685,90.3563,353844,262953,90891,5044,164689383,Asia
Barbados,13.1939,-59.5432,189,174,15,7,287371,North America
Belarus,53.7098,27.9534,76357,73564,2793,796,9449321,Europe
Belgium,50.8333,4.469936,106887,19079,87808,9959,11589616,Europe
Belize,17.1899,-88.4976,1706,1019,687,22,397621,North America
Benin,9.3077,2.3158,2325,1954,371,40,12123198,Africa
Bhutan,27.5142,90.4336,261,196,65,0,771612,Asia
Bolivia,-16.2902,-63.5887,131990,91556,40434,7731,11673029,South America
Bosnia and Herzegovina,43.9159,17.6791,26081,18634,7447,790,3280815,Europe
Botswana,-22.3285,24.6849,2567,624,1943,13,2351625,Africa
Brazil,-14.235,-51.9253,4591364,4046827,544537,138105,212559409,South America
Brunei,4.5353,114.7277,145,142,3,3,437479,Asia
Bulgaria,42.7339,25.4858,19283,13867,5416,779,6948445,Europe
Burkina Faso,12.2383,-1.5616,1929,1252,677,56,20903278,Africa
Burma,21.9162,95.956,7827,2085,5742,133,54409800,Asia
Burundi,-3.3731,29.9189,476,462,14,1,11890781,Africa
Cabo Verde,16.5388,-23.0418,5412,4837,575,54,548800,Africa
Cambodia,11.55,104.9167,275,274,1,0,16718971,Asia
Cameroon,3.848,11.5021,20690,19124,1566,416,26545864,Africa
Canada,44.682,-63.7443,149939,129850,20089,9294,37742157,North America
Central African Rep.,6.6111,20.9394,4802,1830,2972,62,4829764,Africa
Chad,15.4542,18.7322,1164,997,167,82,16425859,Africa
Chile,-35.6751,-71.543,449903,425165,24738,12345,19116209,South America
China,37.2692,106.1655,90409,85304,5105,4738,1439323774,Asia
Colombia,4.5709,-74.2973,784268,662277,121991,24746,50882884,South America
Comoros,-11.6455,43.3333,470,453,17,7,869595,Africa
Dem. Rep. Congo,-0.228,15.8277,15542,13928,1614,360,5518092,Africa
Costa Rica,9.7489,-83.7534,68059,26136,41923,781,5094114,North America
Côte d'Ivoire,7.54,-5.5471,19430,18875,555,120,25070000,Africa
Croatia,45.1,15.2,15340,13815,1525,257,4105268,Europe
Cuba,21.521757,-77.781167,5270,4582,688,118,11326616,North America
Cyprus,35.1264,33.4299,1654,1369,285,22,875899,Europe
Czechia,49.8175,15.473,55464,26709,28755,555,10708982,Europe
Denmark,71.7069,-42.6043,24822,18789,6033,643,5792203,Europe
Diamond Princess,0,0,712,651,61,13,,
Djibouti,11.8251,42.5903,5407,5338,69,61,988002,Africa
Dominica,15.415,-61.371,24,18,6,0,71991,North America
Dominican Republic,18.7357,-70.1627,109737,83434,26303,2074,10847904,North America
Ecuador,-1.8312,-78.1834,129892,102852,27040,11171,17643060,South America
Egypt,26.820553,30.802498,102375,91843,10532,5822,102334403,Africa
El Salvador,13.7942,-88.8965,27954,22113,5841,819,6486201,North America
Equatorial Guinea,1.6508,10.2679,5018,4509,509,83,1402985,Africa
Eritrea,15.1794,39.7823,364,309,55,0,3546427,Africa
Estonia,58.5953,25.0136,3033,2387,646,64,1326539,Europe
Eswatini,-26.5225,31.4659,5343,4693,650,108,1160164,Africa
Ethiopia,9.145,40.4897,71083,29253,41830,1141,114963583,Africa
Fiji,-17.7134,178.065,32,28,4,2,896444,Oceania
Finland,61.92411,25.748151,9288,7850,1438,343,5540718,Europe
France,46.8852,-56.3159,508456,96498,411958,31447,65273512,Europe
Gabon,-0.8037,11.6094,8716,7906,810,54,2225728,Africa
Gambia,13.4432,-15.3101,3542,2011,1531,110,2416664,Africa
Georgia,42.3154,43.3569,4140,1643,2497,25,3989175,Europe
Germany,51.165691,10.451526,279025,245706,33319,9423,83783945,Europe
Ghana,7.9465,-1.0232,46153,45299,854,299,31072945,Africa
Greece,39.0742,21.8243,16286,1347,14939,357,10423056,Europe
Grenada,12.1165,-61.679,24,24,0,0,112519,North America
Guatemala,15.7835,-90.2308,87442,76459,10983,3154,17915567,North America
Guinea,9.9456,-9.6966,10434,9801,633,65,13132792,Africa
Guinea-Bissau,11.8037,-15.1804,2324,1549,775,39,1874000,South America
Guyana,4.860416,-58.93018,2535,1464,1071,69,786559,North America
Haiti,18.9712,-72.2852,8646,6551,2095,225,11402533,North America
Holy See,41.9029,12.4534,12,12,0,0,809,
Honduras,15.2,-86.2419,72675,24022,48653,2222,9904608,North America
Hungary,47.1625,19.5033,20450,4644,15806,702,9660350,Europe
Iceland,64.9631,-19.0208,2476,2142,334,10,341250,Europe
India,20.593684,78.96288,5646010,4587613,1058397,90020,1380004385,Asia
Indonesia,-0.7893,113.9213,257388,187958,69430,9977,273523621,Asia
Iran,32.427908,53.688046,432798,365846,66952,24840,83992953,Asia
Iraq,33.223191,43.679291,332635,264988,67647,8754,40222503,Asia
Ireland,53.1424,-7.6921,33675,23364,10311,1794,4937796,Europe
Israel,31.046051,34.851612,204690,144963,59727,1325,8655541,Asia
Italy,41.87194,12.56738,302537,220665,81872,35758,60461828,Europe
Jamaica,18.1096,-77.2975,5395,1444,3951,76,2961161,North America
Japan,36.204824,138.252924,80009,71547,8462,1525,126476458,Asia
Jordan,31.24,36.51,6042,3812,2230,35,10203140,Asia
Kazakhstan,48.0196,66.9237,107529,102323,5206,1699,18776707,Asia
Kenya,-0.0236,37.9062,37348,24253,13095,664,53771300,Africa
South Korea,35.907757,127.766922,23341,20832,2509,393,51640000,Asia
Kosovo,42.602636,20.902977,12683,8788,3895,488,1932774,Europe
Kuwait,29.31166,47.481766,101299,92341,8958,590,4270563,Asia
Kyrgyzstan,41.20438,74.766098,45630,41904,3726,1063,6524191,Asia
Laos,19.85627,102.495496,23,22,1,0,7275556,Asia
Latvia,56.8796,24.6032,1572,1248,324,36,1886202,Europe
Lebanon,33.8547,35.8623,31792,13527,18265,328,6825442,Asia
Lesotho,-29.61,28.2336,1507,766,741,35,2142252,Africa
Liberia,6.428055,-9.429499,1337,1219,118,82,5057677,Africa
Libya,26.3351,17.228331,30097,16430,13667,469,6871287,Africa
Liechtenstein,47.14,9.55,116,110,6,1,38137,Europe
Lithuania,55.1694,23.8813,3932,2246,1686,87,2722291,Europe
Luxembourg,49.8153,6.1296,8090,6862,1228,124,625976,Europe
MS Zaandam,0,0,9,0,9,2,,
Madagascar,-18.766947,46.869107,16167,14788,1379,226,27691019,Africa
Malawi,-13.2543,34.3015,5746,4140,1606,179,19129955,Africa
Malaysia,4.210484,101.975766,10505,9602,903,133,32365998,Asia
Maldives,3.2028,73.2207,9885,8530,1355,34,540542,Asia
Mali,17.570692,-3.996166,3034,2382,652,130,20250834,Africa
Malta,35.9375,14.3754,2856,2173,683,25,441539,Europe
